Nodes,Fairness,CostV,CostS
0,0.48779832915806975,0.0,0.0
1,0.4930375880589769,0.0008181110954780516,0.06352860953540579
2,0.4979146759750484,0.0018523761111776656,0.06421277534060352
3,0.5026601425748546,0.0031782403114176375,0.06956941509242177
4,0.5067179885890039,0.004783655906625884,0.07855948066237765
5,0.509835244614384,0.005997617164706799,0.07811549118132496
6,0.5127626122211503,0.007254482362332752,0.07983212690422939
7,0.5156255520342219,0.009272167036609982,0.09349634955431861
8,0.5181729031762591,0.011200184084377361,0.10464894180095947
9,0.5204868109137215,0.013283597706142496,0.11545110622993018
10,0.5226104993793186,0.014515001458988347,0.11317686174873769
11,0.5247380888293436,0.015750608332355205,0.11161768297611059
12,0.5268245387871615,0.016663563304475645,0.1070681404151322
13,0.5287988647758265,0.01784120766350733,0.10673612458032244
14,0.5307627893226599,0.020050193414450735,0.11675640508192517
15,0.5326890089685156,0.021139278725402076,0.11546402686751187
16,0.5345712399323047,0.022572862602508535,0.11600952202471969
17,0.5364292725428589,0.023293515439957675,0.11262343451209847
18,0.5381466810846793,0.02499418308369865,0.11665755903158957
19,0.5395587102220715,0.025785733406174273,0.11417583605790514
20,0.540929969253769,0.026787047326471154,0.11392986392230339
21,0.5418736905813352,0.027246918375243942,0.11050953302356332
22,0.5426151371657449,0.027767383561988816,0.10836646585467437
23,0.543329561500986,0.028182184613600572,0.1056204414131072
24,0.5439605786526805,0.028486040699645575,0.10243485282960733
