Nodes,Fairness,CostV,CostS
0,0.47949270110900544,0.0,0.0
1,0.4934326876514158,0.0017433666272473579,0.050923411721474444
2,0.5052979242178864,0.005341437924699079,0.07480384784027048
3,0.5175167048713234,0.012509767308418674,0.1748280815321562
4,0.5255065192115703,0.018009963606025352,0.20715053808541217
5,0.5331168984663314,0.024750148663115354,0.24943892091031133
6,0.539832268422757,0.03182758062977448,0.29727929467939745
7,0.5458270264465118,0.03498584312340023,0.27246871470769146
8,0.551679329197166,0.039917927543645156,0.2671655529219099
9,0.5575476422689758,0.045534323881880785,0.2654935604802471
10,0.5625260974706973,0.05031276314340644,0.26690133929636667
11,0.5674721530938451,0.05476836797547507,0.2657282841097564
12,0.571928571916239,0.06036490518094555,0.27966436915158627
13,0.5759882647249919,0.06485023933301708,0.27368798547554163
14,0.5793751412426972,0.06843459442693693,0.2741390914829279
15,0.5820881292394453,0.07164474129656259,0.2679251276620709
16,0.5850663848910383,0.07560507935410349,0.26878910184062343
17,0.5881456600641457,0.0797307056304164,0.26922531364178404
18,0.5907322953028477,0.08339724531153464,0.2699952949668083
19,0.5932417586624997,0.08595882315552851,0.2662061485660394
20,0.5955592790842794,0.088794911917175,0.262791334301925
21,0.5968363805952864,0.09027093721247643,0.2566588884822987
22,0.5977757752888464,0.09147886727791163,0.2523341324531947
23,0.5986892284644605,0.09245899345882261,0.24509732856004124
24,0.5988436433411588,0.09264127538206803,0.2378542089225962
