Nodes,Fairness,CostV,CostS
0,0.5465558708089591,0.0,0.0
1,0.5707855619514519,0.005930934522457751,0.18626493625820975
2,0.5891413300860261,0.016106236202059396,0.23822158188693543
3,0.6034062169630258,0.027160225622910626,0.2412080185147014
4,0.6177209752184705,0.041503980943164966,0.272923182886821
5,0.6287166187333431,0.056314290140795545,0.35894266785264417
6,0.6376960889569527,0.06773754379927349,0.3663896282200332
7,0.6460152704744097,0.07864327034707622,0.3813809123557813
8,0.6524845729483567,0.08892094151113608,0.394403525309744
9,0.6588322846211109,0.10024313160618085,0.44162900380928843
10,0.6649654542430335,0.10643726484358748,0.4234894073555485
11,0.6708298967124284,0.11704986829708373,0.4385879032201215
12,0.6762376161838597,0.12923963156426646,0.48748693743749194
13,0.6812524237057123,0.13734816620338428,0.4812710981251952
14,0.6860757148160264,0.14611370817828873,0.4897010498660516
15,0.690799215254587,0.15627149382612146,0.5053754118557844
16,0.6947340889410122,0.16658088252238473,0.5470235907427633
17,0.698526880221768,0.17237399805482967,0.5367281020572868
18,0.7017588667651014,0.1801312573907873,0.5559937651761575
19,0.7045253478487917,0.1845293892480937,0.5457127282410607
20,0.7072721336675771,0.18999393606023593,0.5502411507758703
21,0.7096099672340695,0.19402808097311333,0.5400395125197209
22,0.7114323725941682,0.19690928562829763,0.5250215965559619
23,0.7128006575506904,0.19968646884228575,0.5197330005764079
24,0.7135841312310873,0.20111269476642146,0.5076231631830724
25,0.7140614197077592,0.20177758985080485,0.4897347427017658
26,0.714237122334546,0.2019458432579985,0.47190747938938615
27,0.7144025015055914,0.20207541209758978,0.45506440376679247
28,0.7145645513681281,0.20228717450793565,0.4410559402008274
