Nodes,Fairness,CostV,CostS
0,0.01723891132870524,0.0,0.0
1,0.017252563798325894,7.009680085141211e-09,8.27115107423971e-06
2,0.0172626266953905,7.000517645341037e-08,6.011412093246239e-05
3,0.017271492653166215,7.780820047045785e-08,4.4847614236548444e-05
4,0.01728008958726074,1.1141827964482373e-07,5.4203020638170585e-05
5,0.017288080229742854,1.6052071214671124e-07,6.813641757584983e-05
6,0.017295634421460253,1.6950812773456375e-07,5.890299726943999e-05
7,0.017301156722946118,2.0444645663427576e-07,6.305881831770133e-05
8,0.017305912995708987,2.1088740728808768e-07,5.662215443750552e-05
9,0.01731048053188819,2.2205175207722202e-07,5.1810196590631124e-05
10,0.017314469082112798,2.2574307366567823e-07,4.681262463534946e-05
11,0.017318279881520036,2.3176778916540652e-07,4.3308510248876984e-05
12,0.017322064450089266,2.431629270798666e-07,4.127148465753869e-05
13,0.017325614838372867,2.515818536637251e-07,3.9423764534823476e-05
14,0.01732903137555659,2.5909653958663186e-07,3.775487960964461e-05
15,0.017332182969942725,2.6300156354916557e-07,3.547021417517196e-05
16,0.017335278586826822,2.705447631713692e-07,3.417914955458062e-05
17,0.017338116719681267,2.7467059091630513e-07,3.2509177768395067e-05
18,0.017340922261986892,2.8001208317405057e-07,3.0973803138065035e-05
19,0.017343598819105452,2.857300753056879e-07,2.9768683691879532e-05
20,0.0173462231645393,2.932144620715442e-07,2.919909512899139e-05
21,0.01734881908486672,3.0021830609032364e-07,2.8260121560031017e-05
22,0.01735125482852293,3.067584496434155e-07,2.750120579125571e-05
23,0.017353512425689485,3.15020258188571e-07,2.738318498883721e-05
24,0.017355680084271054,3.2276715683059276e-07,2.7136467089499232e-05
25,0.01735772696540548,3.4186836514625954e-07,2.8992236018102678e-05
26,0.017359767460317664,3.6494190501942846e-07,3.1321635262070236e-05
27,0.017361800026177317,3.701867932344987e-07,3.066145760197168e-05
28,0.017363605160976757,4.149296943377042e-07,3.6711722136479725e-05
29,0.017365268137565764,4.2047121850611937e-07,3.610697363650967e-05
30,0.01736692545782882,4.238181526630677e-07,3.5150221855035516e-05
31,0.017368562032555674,4.2757337438539297e-07,3.434797293379133e-05
32,0.017370120405864053,4.304311759987759e-07,3.350902500986864e-05
33,0.017371605021465286,4.565686732229816e-07,3.60135905818974e-05
34,0.017373091182298267,4.604790913097513e-07,3.5300202915729024e-05
35,0.017374380170565244,4.643527721806001e-07,3.460131925879046e-05
36,0.01737562160006558,4.720006130892363e-07,3.4523659920855234e-05
37,0.01737683071906308,4.957792107655144e-07,3.647276512367579e-05
38,0.017378036707714886,5.000377025285861e-07,3.589020418432213e-05
39,0.01737922691344994,5.02855415848392e-07,3.5098038531134665e-05
40,0.017380404620664945,5.058025219912547e-07,3.442114492633933e-05
41,0.01738157089917578,5.246732165402021e-07,3.563834115134392e-05
42,0.017382677478640033,5.273724282455806e-07,3.48975901343932e-05
43,0.017383732972147008,5.330358591426673e-07,3.4547873140612485e-05
44,0.017384781845538128,5.445212900674084e-07,3.4890566200173816e-05
45,0.01738582090263334,5.456774951721275e-07,3.4158381958681786e-05
46,0.01738685582880651,5.539575256103808e-07,3.416235356227431e-05
47,0.017387886374820603,5.562257232307357e-07,3.353974929350155e-05
48,0.017388877611472092,5.588859820230723e-07,3.299751404600978e-05
49,0.017389867213090816,5.644928700293818e-07,3.278277696063381e-05
50,0.017390842288662153,5.693525271888574e-07,3.248314057524897e-05
51,0.017391793794331697,5.742687245908296e-07,3.219808220124054e-05
52,0.01739273658050086,5.804914772699012e-07,3.2068417144334956e-05
53,0.017393626659900036,5.954104103607196e-07,3.2728079262294586e-05
54,0.017394514062327365,6.108320151656458e-07,3.341024433744862e-05
55,0.017395394774643934,6.16663336319055e-07,3.3246053185475704e-05
56,0.017396239000985227,6.216156628099547e-07,3.300900616697956e-05
57,0.01739707876447357,6.250321067077233e-07,3.2668002568022495e-05
58,0.017397905902652437,6.303872242510235e-07,3.2481481316575507e-05
59,0.01739872189150731,6.339630492902005e-07,3.2156142891525125e-05
60,0.017399517849788545,6.365140765093828e-07,3.176754446562931e-05
61,0.017400293786514393,6.407688819480103e-07,3.15321149309214e-05
62,0.017401052973838406,6.455335397150428e-07,3.134099141142592e-05
63,0.017401811949720528,6.546979652259154e-07,3.149523574335203e-05
64,0.017402570426036598,6.606880992030974e-07,3.138344702320412e-05
65,0.01740332888540863,6.631533364085936e-07,3.1034023046306116e-05
66,0.017404085467953693,6.685957520530179e-07,3.091313616292118e-05
67,0.01740483643425853,6.733698496618465e-07,3.064002755996282e-05
68,0.01740558631108616,6.743965328402521e-07,3.0212930587094388e-05
69,0.017406333261038465,6.776824785804486e-07,2.9936824818947097e-05
70,0.01740707227314838,6.820628126290394e-07,2.9769453163204382e-05
71,0.017407810587979668,6.863557739315736e-07,2.9476325069517335e-05
72,0.017408545701355478,6.912726941562028e-07,2.9353692051812438e-05
73,0.0174092675053028,6.954566144603526e-07,2.918838990727357e-05
74,0.017409980015463483,6.961337137452859e-07,2.881278023970645e-05
75,0.017410688817632837,7.024489866673079e-07,2.878858828693957e-05
76,0.01741139647922164,7.050488507617793e-07,2.852338141092162e-05
77,0.017412096588828547,7.11765217204161e-07,2.85155068167843e-05
78,0.01741279775317642,7.149412750848586e-07,2.8304379392783762e-05
79,0.017413481621994298,7.197354671392164e-07,2.818250339431301e-05
80,0.017414163156479104,7.273208227955062e-07,2.8251374562993114e-05
81,0.017414822973204534,7.324764973643662e-07,2.8179505857461e-05
82,0.017415477571589934,7.34503201369882e-07,2.789834895048845e-05
83,0.017416131805766767,7.391866359701821e-07,2.7802263656337444e-05
84,0.017416784648293673,7.424175702928376e-07,2.763241886281201e-05
85,0.01741743185270083,7.45744710427998e-07,2.745925667229104e-05
86,0.01741807769491004,7.496343672260851e-07,2.7326041179956904e-05
87,0.017418721387992622,7.508759963782009e-07,2.7042182977083273e-05
88,0.017419362517874574,7.538204580044343e-07,2.6860624096789754e-05
89,0.017420001022698993,7.591447336927909e-07,2.681435833028946e-05
90,0.01742063392673325,7.64660138191858e-07,2.6785199556879185e-05
91,0.017421266386254942,7.692942054259212e-07,2.670327346305431e-05
92,0.017421897374733743,7.725609581144494e-07,2.6546428646507472e-05
93,0.0174225260063685,7.755857420058349e-07,2.638297581071838e-05
94,0.01742315366340666,7.767128913582806e-07,2.6138244964533836e-05
95,0.017423780705475317,7.843440903333028e-07,2.62247220259527e-05
96,0.01742440739308518,7.891489613172195e-07,2.6163926706264823e-05
97,0.01742502608025655,7.915793204848151e-07,2.5967292094482987e-05
98,0.017425642924323276,7.963855191897923e-07,2.591742449622458e-05
99,0.017426259402273974,8.036097255516271e-07,2.5984015502236302e-05
100,0.017426875812214228,8.077212590297345e-07,2.5900016861583076e-05
101,0.017427489776220495,8.104290279135418e-07,2.5744204103478492e-05
102,0.01742809830402437,8.124064484084535e-07,2.5564350870797126e-05
103,0.01742870200373462,8.143559516266011e-07,2.5381101756852754e-05
104,0.0174293005571914,8.191509559666633e-07,2.5336629052357326e-05
105,0.017429875774913416,8.242435140719964e-07,2.530212452294642e-05
106,0.017430446521936125,8.275477827823205e-07,2.5190952437426315e-05
107,0.017431012485791847,8.296090020888964e-07,2.5021587338708603e-05
108,0.017431576564602685,8.340012945691697e-07,2.4965620015501142e-05
109,0.0174321397859397,8.35003598472893e-07,2.4767188064177927e-05
110,0.017432702741202573,8.381093061609632e-07,2.4658597855295425e-05
111,0.017433262155849574,8.409742652240957e-07,2.4539652105634177e-05
112,0.01743381835834516,8.436008127693874e-07,2.4413518850134835e-05
113,0.0174343719577548,8.451223621442817e-07,2.4243382046254504e-05
114,0.017434916785979627,8.491412363030884e-07,2.418349842301617e-05
115,0.017435452455477042,8.520907226254749e-07,2.4081077559387595e-05
116,0.017435987571165424,8.549325202421894e-07,2.3962463429053042e-05
117,0.017436520876038968,8.571023737739848e-07,2.3823257682923538e-05
118,0.01743704767319921,8.61118153831155e-07,2.376682491482832e-05
119,0.017437574119095467,8.671779695145489e-07,2.3798745983879593e-05
120,0.017438091275507578,8.711767274672363e-07,2.3741655507425824e-05
121,0.017438607447542654,8.751193767850666e-07,2.3685414019373897e-05
122,0.017439122006840897,8.796826356861123e-07,2.3658571159900997e-05
123,0.01743963219785821,8.834175760251601e-07,2.3599968822496415e-05
124,0.01744014209702322,8.864810744222464e-07,2.351174115207239e-05
125,0.017440651411716277,8.887491530500637e-07,2.3392782977135553e-05
126,0.017441157830637818,8.916678327375727e-07,2.32984239168413e-05
127,0.01744166306358331,8.945729359589765e-07,2.321116797699782e-05
128,0.01744216820579887,8.979030462875237e-07,2.3142875075678745e-05
129,0.01744267302016854,9.005216874343333e-07,2.302465820959762e-05
130,0.017443177744291122,9.02834990247653e-07,2.2915130441026317e-05
131,0.017443682163023964,9.065222845172636e-07,2.286150079653003e-05
132,0.01744418435159955,9.115011548600236e-07,2.2857417125849688e-05
133,0.017444686192552725,9.148296673898829e-07,2.2792052616739492e-05
134,0.017445184467389335,9.176926199307407e-07,2.2686491918253994e-05
135,0.0174456768233736,9.20867997003973e-07,2.2619915406939782e-05
136,0.017446168591190473,9.240705463431514e-07,2.255553654321191e-05
137,0.017446660117651756,9.273701441522951e-07,2.249338079585564e-05
138,0.01744715030354301,9.305755999504548e-07,2.242835720101498e-05
139,0.01744763931224624,9.338052263162976e-07,2.2366084098883065e-05
140,0.0174481178701667,9.369486564742805e-07,2.2303324594646927e-05
141,0.017448594383193135,9.390686232680748e-07,2.2195954631447958e-05
142,0.01744906813532658,9.411714896957819e-07,2.209734868849003e-05
143,0.017449539648677872,9.447100277154286e-07,2.2046482807408543e-05
144,0.017450008946297384,9.46949515450684e-07,2.195705616643894e-05
145,0.01745047627789171,9.501639368056379e-07,2.1900447358437743e-05
146,0.0174509407238648,9.532594628613833e-07,2.184328903378743e-05
147,0.017451401970917678,9.55393596274013e-07,2.1754543300022086e-05
148,0.017451861365258614,9.579719565366685e-07,2.168430576886406e-05
149,0.017452310885684233,9.58992370023674e-07,2.1560615345628317e-05
150,0.017452758981741423,9.62119056145919e-07,2.1503595036529924e-05
151,0.017453206277249333,9.650783901075495e-07,2.144547759994139e-05
152,0.01745364954096859,9.671501401763565e-07,2.1360638243967377e-05
153,0.0174540922536616,9.693990893368878e-07,2.1277613187152848e-05
154,0.017454531559630677,9.728477460381252e-07,2.123980230442588e-05
155,0.0174549637837556,9.751308528277143e-07,2.116440769583882e-05
156,0.017455388612783358,9.782367217832585e-07,2.1116842728225388e-05
157,0.017455810724582195,9.806134098845508e-07,2.104868570441905e-05
158,0.017456228279829115,9.834950145421304e-07,2.0995488081873154e-05
159,0.017456645702335433,9.852771797787092e-07,2.090409241185887e-05
160,0.017457061495097192,9.886442695582628e-07,2.0867276765237734e-05
161,0.017457476952857858,9.908530424646169e-07,2.07942484659098e-05
162,0.017457892260625385,9.930028423692085e-07,2.071638104118393e-05
163,0.017458306690690754,9.961046119106042e-07,2.0674444953749426e-05
164,0.01745872037781672,9.995820666453096e-07,2.0645164669680123e-05
165,0.01745912640073935,1.0001478440487672e-06,2.0530426390861046e-05
166,0.017459531916263038,1.0013681341321694e-06,2.043106675653724e-05
167,0.01745993489244778,1.0027637589241068e-06,2.033908049738761e-05
168,0.017460336909601346,1.005056957019217e-06,2.0276151339416453e-05
169,0.01746073776985176,1.0071165152511984e-06,2.02089807745187e-05
170,0.01746113721433014,1.0100355102064346e-06,2.01666551943541e-05
171,0.01746153178416482,1.0114092594244143e-06,2.0074719308543818e-05
172,0.017461918843345588,1.0134030034410743e-06,2.0005300194595143e-05
173,0.017462305160301124,1.0161005509717973e-06,1.9958645373372196e-05
174,0.017462691456029446,1.019005672591385e-06,1.991897857219464e-05
175,0.0174630769430425,1.021791454796864e-06,1.9876338496608216e-05
176,0.017463460973116584,1.0246755869833092e-06,1.983704794228957e-05
177,0.017463844326500527,1.0271761488958305e-06,1.9786155022115594e-05
178,0.017464226051242898,1.0295044811693493e-06,1.9731206513179653e-05
179,0.017464604948872944,1.0305730667652028e-06,1.9642261159200103e-05
180,0.017464978890289095,1.0332696265529766e-06,1.9597559506043735e-05
181,0.017465347768901764,1.0356474816140602e-06,1.9547222140586634e-05
182,0.01746571048654447,1.03823398300709e-06,1.950365669186823e-05
183,0.017466072960785745,1.040528672768767e-06,1.945251772551801e-05
184,0.017466434561384733,1.043047437716137e-06,1.9408042003440146e-05
185,0.017466795276380877,1.0473047010233588e-06,1.9417484536286518e-05
186,0.017467154819044563,1.0491370167177159e-06,1.9355493260322548e-05
187,0.01746751250196929,1.0511834158832458e-06,1.930033475322498e-05
188,0.017467867650040592,1.0527928773801486e-06,1.9232636041643238e-05
189,0.017468221459484654,1.0550350482980945e-06,1.918411631825885e-05
190,0.01746857513749465,1.057320990442839e-06,1.9136748757869357e-05
191,0.0174689281104324,1.05985252669656e-06,1.909624707165932e-05
192,0.017469280553972226,1.0619885394742783e-06,1.9043669730161117e-05
193,0.01746963155319128,1.0641033773839183e-06,1.8991873116112347e-05
194,0.017469980103318333,1.066314893162149e-06,1.8944722125409525e-05
195,0.017470328468842805,1.0684659844538151e-06,1.8896783831304025e-05
196,0.017470676641465503,1.0707575493089293e-06,1.885234770233159e-05
197,0.017471024218814912,1.0730113873014127e-06,1.8807883194767423e-05
198,0.017471371141261495,1.0745239021071405e-06,1.874258355545844e-05
199,0.017471713758629877,1.0760512694690734e-06,1.8681676760648874e-05
200,0.01747205602505237,1.077836425359968e-06,1.8623892855659474e-05
201,0.01747239813301565,1.0801670996834101e-06,1.8583395865733644e-05
202,0.01747273956870164,1.0814111754879163e-06,1.851302732603134e-05
203,0.01747307754876399,1.0827887496241108e-06,1.8448984839390903e-05
204,0.017473414732491536,1.084903760399071e-06,1.840400184662946e-05
205,0.01747375085918463,1.086417736396648e-06,1.8342406817302943e-05
206,0.017474086648660386,1.0881005293564615e-06,1.8287195202535017e-05
207,0.017474423446262852,1.089886679198915e-06,1.8234000675110933e-05
208,0.017474756573328917,1.0914977546256547e-06,1.817943200127661e-05
209,0.017475088722496947,1.093261090937733e-06,1.812789911953073e-05
210,0.01747542077698373,1.095035972801887e-06,1.8078350527457302e-05
211,0.017475752609510873,1.0958987938688245e-06,1.8006010522472416e-05
212,0.017476080732389945,1.0977631155328583e-06,1.7958616886055028e-05
213,0.017476407905788714,1.0989177968550219e-06,1.7895580218278036e-05
214,0.01747673299280103,1.1010719997202259e-06,1.7856253294258418e-05
215,0.017477055997241524,1.1029021335119402e-06,1.7811171201532015e-05
216,0.017477376728777298,1.1048183277007907e-06,1.7768242383370753e-05
217,0.01747769622479333,1.1056456785747374e-06,1.7698019599038476e-05
218,0.017478014329492267,1.1071766162802267e-06,1.7646203752144432e-05
219,0.017478330789269705,1.1085022051954979e-06,1.7588827469211123e-05
220,0.017478646602349636,1.1101325911839293e-06,1.7539195173451795e-05
221,0.017478961685346767,1.1117863955304143e-06,1.749252745761886e-05
222,0.017479275178202316,1.1134190358203894e-06,1.7445031304213626e-05
223,0.01747958772556271,1.1153945944091358e-06,1.7405013127421778e-05
224,0.017479898399337876,1.1167763012048644e-06,1.7352322210230613e-05
225,0.017480208706837204,1.118310099075546e-06,1.7301568627725224e-05
226,0.017480517045355096,1.1200432099797653e-06,1.7258122036886828e-05
227,0.01748082376304029,1.1210402525028403e-06,1.71955257451782e-05
228,0.01748112989870975,1.1225996261179108e-06,1.7148717058181223e-05
229,0.017481434493873727,1.1241742765937653e-06,1.7102290792581302e-05
230,0.017481738615938436,1.1259106699095962e-06,1.7060687965299833e-05
231,0.017482042558864243,1.127573161961365e-06,1.701873813274437e-05
232,0.017482345247134736,1.1291807930921077e-06,1.6975903286172188e-05
233,0.01748264768817754,1.130898041862046e-06,1.6935623453145622e-05
234,0.017482946791556625,1.1324580384482727e-06,1.6892092182854496e-05
235,0.017483237142772924,1.1337729181728873e-06,1.6844116575011336e-05
236,0.017483526637136756,1.135672697102937e-06,1.6809388956795128e-05
237,0.01748381064980354,1.1369157034264006e-06,1.6758714129659746e-05
238,0.01748409327033114,1.137967841489829e-06,1.6706493292686178e-05
239,0.01748437507921474,1.139631460658713e-06,1.6668039362354417e-05
240,0.017484656256847732,1.1412506246452566e-06,1.6628829156358123e-05
241,0.01748493548489645,1.142848515695228e-06,1.6590383857298112e-05
242,0.017485214544492533,1.1441073493639852e-06,1.6542615252092344e-05
243,0.017485492694831427,1.1453742014979812e-06,1.6493652136547267e-05
244,0.017485768665943917,1.1467008137537438e-06,1.644993657935382e-05
245,0.017486040826249917,1.1481380945983218e-06,1.640902035371669e-05
246,0.017486312437307444,1.149518203004404e-06,1.636708465545469e-05
247,0.017486582622995885,1.1509081817045196e-06,1.6325951027099157e-05
248,0.017486850168194186,1.1518784999029602e-06,1.6275124045515754e-05
249,0.01748711764325704,1.153280018753107e-06,1.623493745930478e-05
250,0.017487382690074275,1.1545454587279442e-06,1.619224924984543e-05
251,0.017487646696135225,1.1560011749322297e-06,1.6153909105479674e-05
252,0.017487910255329885,1.1573239102637993e-06,1.611283062319653e-05
253,0.017488173423708786,1.1584948984621087e-06,1.6069494855777583e-05
254,0.01748843639128945,1.1600309203252291e-06,1.602409021274311e-05
255,0.017488699220250432,1.1615523597256482e-06,1.5988126384217246e-05
256,0.017488961748112205,1.1624614991543816e-06,1.593857556096152e-05
257,0.017489215612121543,1.1633629629274958e-06,1.589061552146447e-05
258,0.01748946901896751,1.1650902067050094e-06,1.5859788796004827e-05
259,0.01748972116214859,1.165343161407069e-06,1.579981904970247e-05
260,0.01748997219200436,1.1667364356120992e-06,1.5763406064638767e-05
261,0.01749022275088498,1.1676942647637334e-06,1.571868825882167e-05
262,0.01749047187350051,1.169231613787111e-06,1.568555294350079e-05
263,0.01749071963451945,1.1705315826067198e-06,1.5648075231103306e-05
264,0.017490964466584817,1.171728154606674e-06,1.5608856624043926e-05
265,0.01749120717036123,1.1727991160034616e-06,1.556786914111585e-05
266,0.017491447303984296,1.173958598779672e-06,1.5527610755523337e-05
267,0.017491687097267346,1.1750491990384666e-06,1.5487772616940094e-05
268,0.017491924819154563,1.1762914570850441e-06,1.545042970670914e-05
269,0.017492161230646786,1.1774823760045932e-06,1.541279387188543e-05
270,0.017492396517253334,1.1784494286165944e-06,1.5371398765292975e-05
271,0.017492631045908653,1.1797712844093271e-06,1.5333598083618272e-05
272,0.017492864818664938,1.1806685867056864e-06,1.5291358709499316e-05
273,0.01749309228187905,1.1818425825647289e-06,1.5254653739064547e-05
