Nodes,Fairness,CostV,CostS
0,0.07891648359699506,0.0,0.0
1,0.07899574106951626,2.507140312192103e-07,0.000443204876825949
2,0.07904632587263496,5.347749878748312e-07,0.0005501596568768523
3,0.07908963405055558,8.286276849388054e-07,0.0005413576782218316
4,0.07913136581266386,1.0111439365689409e-06,0.0004420479517820091
5,0.07916054088857259,1.212192535728297e-06,0.0004421295387574806
6,0.07918627450324567,1.5313701584166913e-06,0.0004666491066557805
7,0.0792082966345713,1.683545611049534e-06,0.0004350997419038748
8,0.07923027727527679,2.0447160494901515e-06,0.000482563168036416
9,0.07925222752360819,2.2216165113507054e-06,0.00047184819289643534
10,0.07927320107226937,2.513547770032809e-06,0.0004887932994634617
11,0.07929293204369739,2.7500703403188894e-06,0.0005057129603421949
12,0.07931213690135655,2.9341226136165267e-06,0.0004914890299686916
13,0.07933069625752474,3.131588978701718e-06,0.0004787812626053038
14,0.0793492421043964,3.3427474155302116e-06,0.00047920566404707234
15,0.07936704387887358,3.544416734069223e-06,0.00047713326712392896
16,0.07938310016525346,3.7746680257052587e-06,0.0004778330125499524
17,0.07939869386289178,4.061524190953058e-06,0.0004958248527958394
18,0.07941398525116433,4.23901026672667e-06,0.000488565619590531
19,0.07942919180272139,4.455192392166597e-06,0.0004895458578861771
20,0.07944331676481219,4.659973407612964e-06,0.0004900968512816715
21,0.07945688031421348,4.9780341841424565e-06,0.0005136768106196935
22,0.0794694434417822,5.192161127428592e-06,0.0005186624093013038
23,0.07948190484536027,5.42394979084157e-06,0.0005294737188941474
24,0.0794938674908969,5.554954069289859e-06,0.0005207730523145806
25,0.07950521549800502,5.72505755541814e-06,0.0005161670875723954
26,0.07951637696664238,5.8759129182694975e-06,0.0005109713210439011
27,0.07952747033508084,6.051386671765602e-06,0.0005116723600747201
28,0.079537420251879,6.265768745167774e-06,0.0005203612712124463
29,0.07954699499230536,6.4095558006603284e-06,0.000518089855165843
30,0.07955654335793276,6.498183888452943e-06,0.0005072877865822561
31,0.07956484924467314,6.645432118633056e-06,0.000506488174020992
32,0.07957304250581992,6.745483449727124e-06,0.0004993331231142065
33,0.07958122362793366,6.8457032481770395e-06,0.0004920025449964511
34,0.07958918705524054,7.036309525811864e-06,0.0004973248664088119
35,0.07959694433927639,7.102522829831942e-06,0.0004872424133973524
36,0.07960435038020147,7.175828334493054e-06,0.00047815464821193286
37,0.07961170759844342,7.238642644314425e-06,0.0004695924245302966
38,0.07961853869465002,7.3457135813177024e-06,0.0004661518113415647
39,0.07962512854903621,7.441591047481133e-06,0.00046117955817701935
40,0.07963163314729468,7.561885554830151e-06,0.000460768349186388
41,0.07963788237066537,7.609088294884335e-06,0.00045166054755578424
42,0.0796438201644131,7.65499677298792e-06,0.00044309929607904997
43,0.07964957951485152,7.889481157612595e-06,0.0004551330849113472
44,0.07965531982660366,8.055137008583022e-06,0.0004591205151963347
45,0.0796609812297973,8.263417773122778e-06,0.0004677463791313508
46,0.07966661570883528,8.38783219354768e-06,0.0004671866720792205
47,0.07967218088166499,8.512811467236048e-06,0.00046656805038120165
48,0.07967772728115215,8.668615692667843e-06,0.00046999833572114257
49,0.07968321973201643,8.75286788320194e-06,0.0004657599223035562
50,0.07968863553287343,8.910519027753054e-06,0.00046861486886780654
51,0.0796939824297943,9.09098549288503e-06,0.00047380444882016043
52,0.07969932391526627,9.29146927728936e-06,0.00048035949458321816
53,0.07970464315988587,9.47699206027588e-06,0.0004857593317527212
54,0.0797099051264407,9.691261863672972e-06,0.0004933489689622136
55,0.0797151160835732,9.930592200142358e-06,0.00050295308515592
56,0.07972016077554481,1.0021966523359734e-05,0.0004994751475601925
57,0.07972519749592433,1.0076723344961892e-05,0.000493458373193245
58,0.07973020715521235,1.0252949547417269e-05,0.0004974605762257501
59,0.0797351958533552,1.031706170897606e-05,0.0004932351237724432
60,0.07974004121601563,1.0345293043209226e-05,0.00048607903712837155
61,0.07974486694884904,1.0566567959341435e-05,0.0004935593411785987
62,0.07974956543310815,1.0686137967792234e-05,0.0004928635761707406
63,0.07975425200482414,1.0842077601067323e-05,0.0004951917247731483
64,0.0797589036938888,1.0959827057307478e-05,0.0004946172445958152
65,0.07976340305095331,1.1137157428085398e-05,0.0004985664498442811
66,0.07976786479187581,1.1301804025497811e-05,0.0005014965528228805
67,0.07977232488579367,1.1397387236877824e-05,0.0004992287932646558
68,0.07977675721828814,1.1584354992315045e-05,0.0005035416911980698
69,0.07978117206990956,1.1741310658296357e-05,0.000505441295589525
70,0.07978557306009862,1.1872950677892846e-05,0.0005058818596777156
71,0.07978993943308219,1.2012444701652099e-05,0.0005068008918277664
72,0.07979424201398734,1.215890025414071e-05,0.0005078168664367193
73,0.07979852541395895,1.2332022506559416e-05,0.0005106541337805219
74,0.07980279837248383,1.2451313890784289e-05,0.0005104643984247169
75,0.07980703975361635,1.2553977513817995e-05,0.0005091419201280897
76,0.07981123784023043,1.2750159549436488e-05,0.0005136864244257187
77,0.07981543418775204,1.2957935784866593e-05,0.0005188197295135464
78,0.07981960972241256,1.305533961368148e-05,0.0005168541484752811
79,0.0798237561857888,1.326404429320655e-05,0.0005218185919309964
80,0.07982787487891746,1.3385097365407454e-05,0.0005212686640286232
81,0.07983197823906174,1.3490276669082002e-05,0.0005197601261916697
82,0.07983601790642914,1.3631458945329605e-05,0.0005204916024923736
83,0.07984005617369841,1.3720021975341727e-05,0.0005182580693112206
84,0.07984409003321002,1.391310323566645e-05,0.0005219646411729484
85,0.07984809366507463,1.4114979668918787e-05,0.000526293549308777
86,0.07985206831985503,1.4224679797097447e-05,0.0005252443537758621
87,0.07985600992539832,1.4405578805980084e-05,0.0005279921929185083
88,0.07985993038177494,1.4546495020378303e-05,0.0005286519564760312
89,0.07986384507705979,1.4741863444949491e-05,0.0005323580497160641
90,0.07986771303418475,1.4884422745380702e-05,0.0005331220285684446
91,0.07987153369517694,1.4988193780952257e-05,0.000531896885992998
92,0.0798753298697278,1.5126942090285966e-05,0.0005326566450070805
93,0.0798791180685884,1.5304633309438208e-05,0.000535255879080123
94,0.07988290398434114,1.537696361296351e-05,0.0005323931582121754
95,0.07988666307874784,1.552956773725277e-05,0.0005336514083640053
96,0.07989041869961701,1.563420721908304e-05,0.0005322232328675672
97,0.07989413595556542,1.5778483340721915e-05,0.0005331010541612238
98,0.07989784669014352,1.5962104155498815e-05,0.0005358630945532085
99,0.07990152851540339,1.607948327230579e-05,0.0005352116007983083
100,0.07990520625550691,1.623080601723246e-05,0.0005363217180769158
101,0.07990884987751336,1.6424127282621743e-05,0.0005394665336575541
102,0.07991248080938437,1.6614571169973586e-05,0.0005424153729007578
103,0.0799160763083825,1.6694192174057053e-05,0.0005403610971501288
104,0.07991966950471105,1.6748900964879955e-05,0.0005367034633380158
105,0.07992326201810468,1.6816834167186002e-05,0.0005337760620045737
106,0.0799268539011507,1.69094041087015e-05,0.0005320640121867636
107,0.07993042943649298,1.7028809583055702e-05,0.0005318709364188316
108,0.07993399792033044,1.714183849058676e-05,0.0005311260225695489
109,0.0799375369011388,1.7206502852715072e-05,0.0005285339336359852
110,0.07994107174659361,1.7262181893393876e-05,0.0005253628411302807
111,0.07994457802760871,1.7436426952189207e-05,0.0005275871049316967
112,0.07994803419387106,1.750606059822144e-05,0.0005249632554360833
113,0.0799514629098547,1.7637423649698873e-05,0.0005252426803979203
114,0.0799548726668537,1.7745256580846878e-05,0.0005246365803253843
115,0.07995826351606426,1.783568708583722e-05,0.0005231982503721472
116,0.07996164765916236,1.7928656645505638e-05,0.0005218688135896403
117,0.07996502788894416,1.8078442708965436e-05,0.0005229692666203716
118,0.07996839677943957,1.8243605908321903e-05,0.0005246272313665206
119,0.07997173185139686,1.8406210874399932e-05,0.0005261778069954011
120,0.07997506495989717,1.8528552036446848e-05,0.0005261361429130406
121,0.07997839460316906,1.866792226687197e-05,0.0005268032020963306
122,0.07998170263495807,1.8811723948571192e-05,0.0005276244227683984
123,0.07998499099651675,1.895875895825387e-05,0.0005285369588771418
124,0.07998827096513036,1.91098930483879e-05,0.0005296594807557489
125,0.07999153570631877,1.919242297631022e-05,0.0005279521990705049
126,0.07999479404066859,1.9294366925725188e-05,0.0005271475400174502
